"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2011","Total","Both Sexes","Abohar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","145302",""
"India","2011","Total","Both Sexes","Achalpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","112311",""
"India","2011","Total","Both Sexes","Adilabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","117167",""
"India","2011","Total","Both Sexes","Adityapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","174355",""
"India","2011","Total","Both Sexes","Adoni","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","184625",""
"India","2011","Total","Both Sexes","Agartala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","400004",""
"India","2011","Total","Both Sexes","Agra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1585704",""
"India","2011","Total","Both Sexes","Ahmadabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","5633927",""
"India","2011","Total","Both Sexes","Ahmadnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","350859",""
"India","2011","Total","Both Sexes","Aizawl","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","293416",""
"India","2011","Total","Both Sexes","Ajmer","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","542321",""
"India","2011","Total","Both Sexes","Akola","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","425817",""
"India","2011","Total","Both Sexes","Alandur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","164430",""
"India","2011","Total","Both Sexes","Alappuzha","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","240991",""
"India","2011","Total","Both Sexes","Aligarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","874408",""
"India","2011","Total","Both Sexes","Allahabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1168385",""
"India","2011","Total","Both Sexes","Alwar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","322568",""
"India","2011","Total","Both Sexes","Ambala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","195153",""
"India","2011","Total","Both Sexes","Ambala Sadar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","104974",""
"India","2011","Total","Both Sexes","Ambarnath","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","253475",""
"India","2011","Total","Both Sexes","Ambattur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","466205",""
"India","2011","Total","Both Sexes","Amravati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","647057",""
"India","2011","Total","Both Sexes","Amritsar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1159227",""
"India","2011","Total","Both Sexes","Amroha","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","198471",""
"India","2011","Total","Both Sexes","Anand","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","209410",""
"India","2011","Total","Both Sexes","Anantapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","267161",""
"India","2011","Total","Both Sexes","Arrah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","261430",""
"India","2011","Total","Both Sexes","Asansol","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","563917",""
"India","2011","Total","Both Sexes","Ashoknagar Kalyangarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","121592",""
"India","2011","Total","Both Sexes","Aurangabad (Maharashtra)","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1175116",""
"India","2011","Total","Both Sexes","Avadi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","345996",""
"India","2011","Total","Both Sexes","Azamgarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","110983",""
"India","2011","Total","Both Sexes","Bahadurgarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","170767",""
"India","2011","Total","Both Sexes","Baharampur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","195223",""
"India","2011","Total","Both Sexes","Bahraich","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","186223",""
"India","2011","Total","Both Sexes","Baidyabati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","121110",""
"India","2011","Total","Both Sexes","Baleshwar Town","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","144373",""
"India","2011","Total","Both Sexes","Ballia","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","104424",""
"India","2011","Total","Both Sexes","Bally (Municipality)","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","293373",""
"India","2011","Total","Both Sexes","Balurghat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","153279",""
"India","2011","Total","Both Sexes","Banda","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","160473",""
"India","2011","Total","Both Sexes","Bankura","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","137386",""
"India","2011","Total","Both Sexes","Bansberia","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","103920",""
"India","2011","Total","Both Sexes","Baranagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","245213",""
"India","2011","Total","Both Sexes","Barasat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","278435",""
"India","2011","Total","Both Sexes","Barddhaman","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","314265",""
"India","2011","Total","Both Sexes","Bareilly","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","904797",""
"India","2011","Total","Both Sexes","Baripada Town","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","116849",""
"India","2011","Total","Both Sexes","Barrackpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","152783",""
"India","2011","Total","Both Sexes","Barshi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118722",""
"India","2011","Total","Both Sexes","Basirhat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","125254",""
"India","2011","Total","Both Sexes","Basti","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114657",""
"India","2011","Total","Both Sexes","Batala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","158621",""
"India","2011","Total","Both Sexes","Bathinda","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","285788",""
"India","2011","Total","Both Sexes","Beawar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","151152",""
"India","2011","Total","Both Sexes","Begusarai","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","252008",""
"India","2011","Total","Both Sexes","Belgaum","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","490045",""
"India","2011","Total","Both Sexes","Bellary","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","410445",""
"India","2011","Total","Both Sexes","Bettiah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","132209",""
"India","2011","Total","Both Sexes","Bhadravati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","151102",""
"India","2011","Total","Both Sexes","Bhadreswar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","101477",""
"India","2011","Total","Both Sexes","Bhagalpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","400146",""
"India","2011","Total","Both Sexes","Bhalswa Jahangir Pur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","197148",""
"India","2011","Total","Both Sexes","Bharatpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","252838",""
"India","2011","Total","Both Sexes","Bharuch","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","169007",""
"India","2011","Total","Both Sexes","Bhatpara","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","386019",""
"India","2011","Total","Both Sexes","Bhavnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","605882",""
"India","2011","Total","Both Sexes","Bhilai Nagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","627734",""
"India","2011","Total","Both Sexes","Bhilwara","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","359483",""
"India","2011","Total","Both Sexes","Bhind","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","197585",""
"India","2011","Total","Both Sexes","Bhiwandi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","709665",""
"India","2011","Total","Both Sexes","Bhiwani","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","196057",""
"India","2011","Total","Both Sexes","Bhopal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1798218",""
"India","2011","Total","Both Sexes","Bhubaneswar Town","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","885363",""
"India","2011","Total","Both Sexes","Bhuj","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","148834",""
"India","2011","Total","Both Sexes","Bhusawal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","187421",""
"India","2011","Total","Both Sexes","Bid","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","146709",""
"India","2011","Total","Both Sexes","Bidar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","216020",""
"India","2011","Total","Both Sexes","Bidhan Nagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","215514",""
"India","2011","Total","Both Sexes","Bijapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","327427",""
"India","2011","Total","Both Sexes","Bikaner","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","644406",""
"India","2011","Total","Both Sexes","Bilaspur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","365579",""
"India","2011","Total","Both Sexes","Bokaro Steel City","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","414820",""
"India","2011","Total","Both Sexes","Botad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","130327",""
"India","2011","Total","Both Sexes","Brahmapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","356598",""
"India","2011","Total","Both Sexes","Budaun","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","159285",""
"India","2011","Total","Both Sexes","Bulandshahar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","230024",""
"India","2011","Total","Both Sexes","Burhanpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","210886",""
"India","2011","Total","Both Sexes","Champdani","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","111251",""
"India","2011","Total","Both Sexes","Chandannagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","166867",""
"India","2011","Total","Both Sexes","Chandausi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114383",""
"India","2011","Total","Both Sexes","Chandigarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","970602",""
"India","2011","Total","Both Sexes","Chandrapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","320379",""
"India","2011","Total","Both Sexes","Chapra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","202352",""
"India","2011","Total","Both Sexes","Chennai","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","4646732",""
"India","2011","Total","Both Sexes","Chhatarpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","142128",""
"India","2011","Total","Both Sexes","Chhindwara","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","175052",""
"India","2011","Total","Both Sexes","Chikmagalur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118401",""
"India","2011","Total","Both Sexes","Chitradurga","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","145853",""
"India","2011","Total","Both Sexes","Chittoor","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","160722",""
"India","2011","Total","Both Sexes","Churu","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","120157",""
"India","2011","Total","Both Sexes","Coimbatore","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1050721",""
"India","2011","Total","Both Sexes","Cuddalore","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","173636",""
"India","2011","Total","Both Sexes","Cuttack","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","610189",""
"India","2011","Total","Both Sexes","Dabgram","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","119040",""
"India","2011","Total","Both Sexes","Dallo Pura","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","154791",""
"India","2011","Total","Both Sexes","Damoh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","139561",""
"India","2011","Total","Both Sexes","Darbhanga","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","296039",""
"India","2011","Total","Both Sexes","Darjiling","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118805",""
"India","2011","Total","Both Sexes","Davanagere","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","434971",""
"India","2011","Total","Both Sexes","Dehradun","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","574840",""
"India","2011","Total","Both Sexes","Dehri","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","137231",""
"India","2011","Total","Both Sexes","Delhi Cantonment","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","110351",""
"India","2011","Total","Both Sexes","Deoghar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","203123",""
"India","2011","Total","Both Sexes","Deoli","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","169122",""
"India","2011","Total","Both Sexes","Deoria","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","129479",""
"India","2011","Total","Both Sexes","Dewas","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","289550",""
"India","2011","Total","Both Sexes","Dhanbad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1162472",""
"India","2011","Total","Both Sexes","Dharmavaram","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","121874",""
"India","2011","Total","Both Sexes","Dhule","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","375559",""
"India","2011","Total","Both Sexes","Dibrugarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","145488",""
"India","2011","Total","Both Sexes","Dimapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","122834",""
"India","2011","Total","Both Sexes","Dinapur Nizamat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","182429",""
"India","2011","Total","Both Sexes","Dindigul","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","207327",""
"India","2011","Total","Both Sexes","Dohad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118846",""
"India","2011","Total","Both Sexes","Dum Dum","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114786",""
"India","2011","Total","Both Sexes","Durg","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","268806",""
"India","2011","Total","Both Sexes","Durgapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","566517",""
